,feature,coverage,folds_used,frac_folds_r2_pos,r2_train_mean,r2_train_medium,r2_train_std,r2_test_mean,r2_test_medium,r2_te_std,mse_train_mean,mse_train_median,mse_train_std,mse_test_mean,mse_test_median,mse_test_std,mse_improve_vs_baseline_mean,pearson_test_mean,spearman_test_mean
20,V9_is_missing_max252,1.0,5,0.0,0.0002599120960961931,0.0002628643294924071,1.952611947039077e-05,-0.015696801002762363,-0.013754274103515929,0.01836132631663044,0.00011213764575835558,0.00011227606711022693,3.717260182169378e-07,9.967563708522242e-05,9.283974060584947e-05,7.426345301767223e-05,-3.962924610669482e-09,1.1414704896320936e-17,
21,V9_min252,1.0,5,0.0,0.0002599229099257361,0.0002628750255266876,1.952499627051943e-05,-0.015696813933629584,-0.013754470311031275,0.01836111424835803,0.00011213764454540182,0.00011227606590900252,3.7172601294192355e-07,9.967563227041671e-05,9.283973355804745e-05,7.426345123714718e-05,-3.958109804960675e-09,0.006571330888676445,-0.0385115814522239
22,D1_lag2,1.0,5,0.2,9.611691293407443e-05,9.573909018045779e-05,9.996649135545693e-06,-0.015708938887344214,-0.01680370958081423,0.017409875270811653,0.00011215601918524629,0.00011229402461708629,3.721747261369158e-07,9.95909466772218e-05,9.244546987594368e-05,7.425157030441805e-05,8.072748338994613e-08,0.061400276799506916,0.057754105940969414
23,D2_lag2,1.0,5,0.2,9.611691293407443e-05,9.573909018045779e-05,9.996649135545693e-06,-0.015708938887344214,-0.01680370958081423,0.017409875270811653,0.00011215601918524629,0.00011229402461708629,3.721747261369158e-07,9.95909466772218e-05,9.244546987594368e-05,7.425157030441805e-05,8.072748338994613e-08,0.061400276799506916,0.057754105940969414
24,M13_max63,1.0,5,0.0,0.0001566806664503817,0.0001586329588645352,1.7425814356530716e-05,-0.015829588406942686,-0.014324450872029937,0.018195168349108226,0.00011214922490169704,0.0001122877728756187,3.717644567578908e-07,9.967818933825031e-05,9.283300125179038e-05,7.426139751314565e-05,-6.515177638561536e-09,0.0528338879861195,0.056529065755528365
25,M13_max5,1.0,5,0.0,0.0001566832417365216,0.00015863576893182518,1.7426351205817316e-05,-0.01582959591230937,-0.014324387975741315,0.018195254914787264,0.0001121492246128321,0.00011228777256003244,3.7176445491366273e-07,9.967819181267137e-05,9.2833002721637e-05,7.42613980141082e-05,-6.5176520596175016e-09,0.11880030850724692,0.09502084244103484
26,M13_max126,1.0,5,0.0,0.00015667680976889643,0.00015862876037531226,1.7425388113732227e-05,-0.0158296071236534,-0.014324580664151876,0.018195077004393354,0.00011214922533428845,0.00011228777334713251,3.7176445780084356e-07,9.967818928237275e-05,9.283300634619094e-05,7.426139758251684e-05,-6.5151217609946935e-09,0.11430601040909541,0.14330161519694914
27,M13_max21,1.0,5,0.0,0.00015668373097488253,0.00015863619455203093,1.742624659714558e-05,-0.01582961428739087,-0.014324433668978065,0.01819521372410907,0.00011214922455793941,0.00011228777251223291,3.717644484822749e-07,9.9678192577495e-05,9.283300706680688e-05,7.426139790240093e-05,-6.518416883246735e-09,0.07548327505709909,0.04922934225173115
28,M13,1.0,5,0.0,0.00015668016028329567,0.00015863258824355686,1.7426361551873945e-05,-0.01582965208158571,-0.014324469401115092,0.01819519122423993,0.00011214922495844872,0.00011228777291724151,3.717644484896381e-07,9.967819634386303e-05,9.283301606527161e-05,7.426140014752643e-05,-6.522183251278806e-09,0.05740753778712219,0.04840629800307221
29,M13_max252,1.0,5,0.0,0.0001566803818569662,0.00015863218451972472,1.7425505593267705e-05,-0.015829666271546295,-0.014324696035432627,0.018195018403774202,0.00011214922493357152,0.00011228777296258195,3.717644387562113e-07,9.967819361109123e-05,9.283302285524582e-05,7.426139762851109e-05,-6.519450479479155e-09,0.05298280104866431,0.03969102396029946
30,M14_max5,1.0,5,0.0,0.00015666697719525225,0.00015861952252416156,1.7427156111018448e-05,-0.01582969651302748,-0.014324449756405677,0.018195301321950155,0.0001121492264372165,0.00011228777438459482,3.7176447767138105e-07,9.967820485225925e-05,9.283302524579364e-05,7.426140701694005e-05,-6.530691647488068e-09,-0.008121811846845883,-0.025092280236478977
31,M14_max21,1.0,5,0.0,0.00015666706793715512,0.00015861961353202947,1.742713189751948e-05,-0.015829697684271116,-0.01432445715080366,0.018195297237436105,0.00011214922642703677,0.00011228777437437412,3.717644770485484e-07,9.967820475586342e-05,9.283302507481315e-05,7.426140686309301e-05,-6.530595251667869e-09,-0.008901238923292882,-0.04238336080219427
32,M14,1.0,5,0.0,0.00015666638824503033,0.00015861891592183763,1.742713763093563e-05,-0.01582970172209115,-0.014324460922242599,0.018195294246413182,0.00011214922650327393,0.00011228777445271965,3.717644766587302e-07,9.967820515499358e-05,9.283302629888153e-05,7.426140703979683e-05,-6.530994381839328e-09,-0.0293675778104067,-0.04166666666666667
33,M14_max63,1.0,5,0.0,0.00015666578144077903,0.0001586182925360502,1.7426994778282757e-05,-0.015829704178504,-0.014324501498101272,0.018195275678636064,0.00011214922657133885,0.00011228777452272935,3.717644774008704e-07,9.967820448298318e-05,9.283302440079025e-05,7.42614065406986e-05,-6.530322371422451e-09,-0.007097781893332103,-0.0485010903562901
34,M13_is_missing,1.0,5,0.0,0.0001566672414800685,0.0001586196679091989,1.742727763491888e-05,-0.015829711941722825,-0.014324542872972357,0.01819530120182349,0.00011214922640759986,0.00011228777436826727,3.7176448795495364e-07,9.967820670352614e-05,9.283302904448798e-05,7.426140845843759e-05,-6.532542914379046e-09,2.25317219852808e-17,
35,M14_is_missing,1.0,5,0.0,0.0001566672414800685,0.0001586196679091989,1.742727763491888e-05,-0.015829711941722825,-0.014324542872972357,0.01819530120182349,0.00011214922640759986,0.00011228777436826727,3.7176448795495364e-07,9.967820670352614e-05,9.283302904448798e-05,7.426140845843759e-05,-6.532542914379046e-09,2.25317219852808e-17,
36,M13_is_missing_min5,1.0,5,0.0,0.0001566672414800685,0.0001586196679091989,1.742727763491888e-05,-0.015829711941722825,-0.014324542872972357,0.01819530120182349,0.00011214922640759986,0.00011228777436826727,3.7176448795495364e-07,9.967820670352614e-05,9.283302904448798e-05,7.426140845843759e-05,-6.532542914379046e-09,2.25317219852808e-17,
37,M14_is_missing_min5,1.0,5,0.0,0.0001566672414800685,0.0001586196679091989,1.742727763491888e-05,-0.015829711941722825,-0.014324542872972357,0.01819530120182349,0.00011214922640759986,0.00011228777436826727,3.7176448795495364e-07,9.967820670352614e-05,9.283302904448798e-05,7.426140845843759e-05,-6.532542914379046e-09,2.25317219852808e-17,
38,M13_is_missing_min21,1.0,5,0.0,0.0001566672414800685,0.0001586196679091989,1.742727763491888e-05,-0.015829711941722825,-0.014324542872972357,0.01819530120182349,0.00011214922640759986,0.00011228777436826727,3.7176448795495364e-07,9.967820670352614e-05,9.283302904448798e-05,7.426140845843759e-05,-6.532542914379046e-09,2.25317219852808e-17,
39,M14_is_missing_min21,1.0,5,0.0,0.0001566672414800685,0.0001586196679091989,1.742727763491888e-05,-0.015829711941722825,-0.014324542872972357,0.01819530120182349,0.00011214922640759986,0.00011228777436826727,3.7176448795495364e-07,9.967820670352614e-05,9.283302904448798e-05,7.426140845843759e-05,-6.532542914379046e-09,2.25317219852808e-17,
40,M13_is_missing_min63,1.0,5,0.0,0.0001566672414800685,0.0001586196679091989,1.742727763491888e-05,-0.015829711941722825,-0.014324542872972357,0.01819530120182349,0.00011214922640759986,0.00011228777436826727,3.7176448795495364e-07,9.967820670352614e-05,9.283302904448798e-05,7.426140845843759e-05,-6.532542914379046e-09,2.25317219852808e-17,
41,M14_is_missing_min63,1.0,5,0.0,0.0001566672414800685,0.0001586196679091989,1.742727763491888e-05,-0.015829711941722825,-0.014324542872972357,0.01819530120182349,0.00011214922640759986,0.00011228777436826727,3.7176448795495364e-07,9.967820670352614e-05,9.283302904448798e-05,7.426140845843759e-05,-6.532542914379046e-09,2.25317219852808e-17,
42,M13_is_missing_min126,1.0,5,0.0,0.0001566672414800685,0.0001586196679091989,1.742727763491888e-05,-0.015829711941722825,-0.014324542872972357,0.01819530120182349,0.00011214922640759986,0.00011228777436826727,3.7176448795495364e-07,9.967820670352614e-05,9.283302904448798e-05,7.426140845843759e-05,-6.532542914379046e-09,2.25317219852808e-17,
43,M14_is_missing_min126,1.0,5,0.0,0.0001566672414800685,0.0001586196679091989,1.742727763491888e-05,-0.015829711941722825,-0.014324542872972357,0.01819530120182349,0.00011214922640759986,0.00011228777436826727,3.7176448795495364e-07,9.967820670352614e-05,9.283302904448798e-05,7.426140845843759e-05,-6.532542914379046e-09,2.25317219852808e-17,
44,M13_is_missing_min252,1.0,5,0.0,0.0001566672414800685,0.0001586196679091989,1.742727763491888e-05,-0.015829711941722825,-0.014324542872972357,0.01819530120182349,0.00011214922640759986,0.00011228777436826727,3.7176448795495364e-07,9.967820670352614e-05,9.283302904448798e-05,7.426140845843759e-05,-6.532542914379046e-09,2.25317219852808e-17,
45,M14_is_missing_min252,1.0,5,0.0,0.0001566672414800685,0.0001586196679091989,1.742727763491888e-05,-0.015829711941722825,-0.014324542872972357,0.01819530120182349,0.00011214922640759986,0.00011228777436826727,3.7176448795495364e-07,9.967820670352614e-05,9.283302904448798e-05,7.426140845843759e-05,-6.532542914379046e-09,2.25317219852808e-17,
46,M14_max126,1.0,5,0.0,0.00015666442674100445,0.0001586169074213606,1.742684074757506e-05,-0.015829712082519532,-0.014324551746912828,0.01819525094934924,0.0001121492267232908,0.00011228777467828547,3.71764477662423e-07,9.967820419742388e-05,9.283302358171239e-05,7.426140618597349e-05,-6.530036812121094e-09,-0.0070977818934247995,-0.0485010903562901
47,M14_max252,1.0,5,0.0,0.00015666394946352026,0.0001586164073326124,1.7426692732496293e-05,-0.015829719071553106,-0.014324600469379334,0.01819522517914409,0.00011214922677682486,0.00011228777473444823,3.71764477498631e-07,9.967820383101944e-05,9.283302274692878e-05,7.426140581157266e-05,-6.52967040767606e-09,-0.007097781894769848,-0.0485010903562901
48,M6_is_missing_mean252,1.0,5,0.0,0.00017595362182483144,0.0001780154948716195,1.7168654011192227e-05,-0.015830479951554823,-0.014426205064295816,0.018105107374896876,0.00011214706310967754,0.00011228559610851078,3.717547591476917e-07,9.967560803575559e-05,9.28304850348149e-05,7.425999840420265e-05,-3.933875143836268e-09,4.004493261515409e-18,
49,M6_mean252,1.0,5,0.0,0.00017595676041688436,0.0001780184504658333,1.7166830253081913e-05,-0.015830539831255663,-0.014426672166440335,0.018104791276266168,0.0001121470627575986,0.00011228559577658104,3.7175474429427913e-07,9.96756016276206e-05,9.283047391212603e-05,7.425999291517549e-05,-3.927467008836799e-09,-0.004389867136416529,-0.038988095238095245
50,M13_min5,1.0,5,0.0,0.00015451183968662185,0.00015643167244661083,1.7304980988797375e-05,-0.015836708950145793,-0.014363478375959637,0.018178425022631638,0.00011214946817206554,0.00011228802009238477,3.717651850854381e-07,9.967809459651941e-05,9.283243809791285e-05,7.426116183289779e-05,-6.420435907641888e-09,0.09346368208601846,0.10386290721547956
51,M14_min5,1.0,5,0.0,0.00015449608843256523,0.00015641607845517935,1.730566416907886e-05,-0.01583677299956614,-0.014363566568913244,0.018178499690532382,0.00011214946993895162,0.00011228802184367716,3.717652360016959e-07,9.967810446666431e-05,9.283244504781984e-05,7.426117184067639e-05,-6.4303060525694954e-09,-0.026954921062186204,-0.04544256700560962
52,M13_is_missing_max5,1.0,5,0.0,0.00015449630975978846,0.00015641619898631998,1.730577662530003e-05,-0.015836786103432577,-0.01436366400975686,0.018178501212253714,0.00011214946991416192,0.00011228802183014082,3.717652495070133e-07,9.967810613186837e-05,9.283244745540505e-05,7.426117352284671e-05,-6.4319712566050836e-09,4.524923534490637e-18,
53,M14_is_missing_max5,1.0,5,0.0,0.00015449630975978846,0.00015641619898631998,1.730577662530003e-05,-0.015836786103432577,-0.01436366400975686,0.018178501212253714,0.00011214946991416192,0.00011228802183014082,3.717652495070133e-07,9.967810613186837e-05,9.283244745540505e-05,7.426117352284671e-05,-6.4319712566050836e-09,4.524923534490637e-18,
54,M13_lag1,1.0,5,0.0,0.00015191386832411614,0.00015379038680851664,1.7124262608854375e-05,-0.015846800272694937,-0.014422165324287306,0.01815201392837417,0.00011214975957818139,0.00011228831672352208,3.7176602260661146e-07,9.967787614877898e-05,9.283152855314736e-05,7.426078825063882e-05,-6.201988167211473e-09,0.17292935472778714,0.14002496159754227
55,M14_lag1,1.0,5,0.0,0.00015189725247779506,0.00015377393766446978,1.71250253781516e-05,-0.015846910557365358,-0.014422275352995229,0.0181520660000643,0.00011214976144197679,0.00011228831857085288,3.717660478166829e-07,9.967788901776315e-05,9.28315462492466e-05,7.426079674216442e-05,-6.2148571513965105e-09,0.0059890901620912405,-0.008093317972350229
56,M13_is_missing_lag1,1.0,5,0.0,0.00015189733019624896,0.00015377391688164987,1.712513953406223e-05,-0.015846927907411025,-0.014422377011620746,0.018152064613527735,0.00011214976143329044,0.0001122883185731869,3.717660595781476e-07,9.967789094226475e-05,9.283154945577972e-05,7.426079834621792e-05,-6.21678165298108e-09,1.7496670543055714e-17,
57,M14_is_missing_lag1,1.0,5,0.0,0.00015189733019624896,0.00015377391688164987,1.712513953406223e-05,-0.015846927907411025,-0.014422377011620746,0.018152064613527735,0.00011214976143329044,0.0001122883185731869,3.717660595781476e-07,9.967789094226475e-05,9.283154945577972e-05,7.426079834621792e-05,-6.21678165298108e-09,1.7496670543055714e-17,
58,M13_mean5,1.0,5,0.0,0.00015148255799151132,0.00015335327569043766,1.7104320205435427e-05,-0.015848068091535737,-0.014428647165396491,0.018149433457784164,0.00011214980795690856,0.00011228836581354332,3.7176617987808725e-07,9.967787095569874e-05,9.283144060514099e-05,7.426075291577299e-05,-6.196795086985921e-09,0.13470501578227653,0.11740591397849462
59,M14_mean5,1.0,5,0.0,0.00015146742028770976,0.0001533382188547705,1.7105067800130435e-05,-0.01584814992830519,-0.014428716899606897,0.01814949938627741,0.00011214980965492103,0.00011228836750451009,3.717662103988903e-07,9.967788208774708e-05,9.283145563619583e-05,7.42607612996664e-05,-6.207927135338435e-09,-0.014311833763442494,-0.023022273425499232
60,M13_is_missing_mean5,1.0,5,0.0,0.00015146753684209814,0.000153338226418831,1.7105175287444386e-05,-0.015848164757992,-0.0144288145091096,0.018149499114926852,0.00011214980964187825,0.00011228836750366061,3.7176622200632835e-07,9.967788381475978e-05,9.283145863023887e-05,7.426076278114585e-05,-6.2096541480322585e-09,9.796641750757497e-18,
61,M14_is_missing_mean5,1.0,5,0.0,0.00015146753684209814,0.000153338226418831,1.7105175287444386e-05,-0.015848164757992,-0.0144288145091096,0.018149499114926852,0.00011214980964187825,0.00011228836750366061,3.7176622200632835e-07,9.967788381475978e-05,9.283145863023887e-05,7.426076278114585e-05,-6.2096541480322585e-09,9.796641750757497e-18,
62,M6_lag21,1.0,5,0.0,0.00017750184796907486,0.00017950762673513143,1.6651255276543895e-05,-0.015855544070718076,-0.014603905430459418,0.018010824440986676,0.0001121468894471807,0.00011228542853376412,3.7175274360288266e-07,9.967419090524568e-05,9.282749005671312e-05,7.425857302215756e-05,-2.5167446339102923e-09,0.03345753914218321,-0.012461597542242702
63,M6_is_missing_lag21,1.0,5,0.0,0.00017743057190244826,0.00017943505581652364,1.6649087929410676e-05,-0.015855707889196012,-0.01460492112324041,0.018010469242691104,0.00011214689744224002,0.00011228543668388382,3.7175286324477604e-07,9.967419742926649e-05,9.282748942888992e-05,7.425858484360878e-05,-2.5232686547385274e-09,1.4554482325915538e-17,
64,M6_is_missing_lag30,1.0,5,0.0,0.0001767772965130643,0.0001787772830973422,1.664958973665886e-05,-0.015855931060020857,-0.014603998353370118,0.018011883079929146,0.00011214697071815186,0.00011228551055543597,3.717531445550808e-07,9.967425158790532e-05,9.282752470443754e-05,7.425860832765274e-05,-2.577427293573814e-09,-1.6932926603172995e-18,
65,M6_lag30,1.0,5,0.0,0.0001767927498634414,0.0001787938801497413,1.6649217412882798e-05,-0.015855966746361937,-0.014603976529981688,0.018011802845488405,0.00011214696898478025,0.00011228550869149424,3.717531315956117e-07,9.967424964436769e-05,9.282750493686016e-05,7.425860825933554e-05,-2.5754837559401943e-09,0.008578768477132136,-0.018231566820276497
66,M13_lag5,1.0,5,0.0,0.00014894872076423037,0.00015078002003987567,1.694928453685987e-05,-0.015857113291274327,-0.014479134383895254,0.01812758968590753,0.00011215009216928857,0.00011228865480453285,3.7176700596659873e-07,9.967772600391564e-05,9.283069250556265e-05,7.426043978866719e-05,-6.051843303879067e-09,0.06233610288886331,0.04351958525345622
67,M14_lag5,1.0,5,0.0,0.00014893866193013138,0.00015077015155262607,1.695040725892421e-05,-0.01585716849453469,-0.014479089706680215,0.01812769760790597,0.00011215009329767445,0.00011228865591281911,3.717670551873674e-07,9.967773812130651e-05,9.283070755209713e-05,7.42604522861363e-05,-6.063960694753403e-09,-0.01848533352290541,-0.029685099846390173
68,M13_is_missing_lag5,1.0,5,0.0,0.00014893913864721942,0.00015077053105194693,1.695055293261125e-05,-0.015857181281101605,-0.014479176247011338,0.01812770186191736,0.00011215009324423781,0.00011228865587019922,3.717670683582591e-07,9.96777399803033e-05,9.283071060986741e-05,7.426045413772071e-05,-6.0658196915491506e-09,1.2280292231136128e-17,
69,M14_is_missing_lag5,1.0,5,0.0,0.00014893913864721942,0.00015077053105194693,1.695055293261125e-05,-0.015857181281101605,-0.014479176247011338,0.01812770186191736,0.00011215009324423781,0.00011228865587019922,3.717670683582591e-07,9.96777399803033e-05,9.283071060986741e-05,7.426045413772071e-05,-6.0658196915491506e-09,1.2280292231136128e-17,
70,M13_is_missing_max126,1.0,5,0.0,0.00014187723594845104,0.00014365764709700635,1.7001522244562413e-05,-0.01586090782614482,-0.014459883586873445,0.018155019537536614,0.0001121508853586725,0.00011228945468681589,3.7177100743372073e-07,9.967874714130408e-05,9.283142022968824e-05,7.426089792740577e-05,-7.072980692329972e-09,4.163179246002513e-19,
71,M14_is_missing_max126,1.0,5,0.0,0.00014187723594845104,0.00014365764709700635,1.7001522244562413e-05,-0.01586090782614482,-0.014459883586873445,0.018155019537536614,0.0001121508853586725,0.00011228945468681589,3.7177100743372073e-07,9.967874714130408e-05,9.283142022968824e-05,7.426089792740577e-05,-7.072980692329972e-09,4.163179246002513e-19,
72,M14_min126,1.0,5,0.0,0.00014187294556269325,0.0001436534219095842,1.700094623641629e-05,-0.015860928614696013,-0.014459954881303139,0.018154935364790386,0.00011215088583987536,0.00011228945516132806,3.717709950937463e-07,9.967874524196992e-05,9.283141569450946e-05,7.426089562062567e-05,-7.071081358174579e-09,-0.0445790094432659,-0.0684462876942571
73,M13_min126,1.0,5,0.0,0.00014186909940065994,0.00014364951656364866,1.6999406247194977e-05,-0.015861002076992214,-0.014460411192162015,0.01815466194544109,0.00011215088627126977,0.00011228945559992021,3.7177098901712016e-07,9.967874130292688e-05,9.283140555220424e-05,7.426089197900021e-05,-7.0671423151442935e-09,-0.0346753950885138,-0.07555774381902142
74,M13_lag2,1.0,5,0.0,0.00014717189988384672,0.00014897314843709264,1.682050313319636e-05,-0.015864403610789113,-0.014521358250028316,0.018108666976029093,0.00011215029146955681,0.00011228885772631108,3.717675649105563e-07,9.9677571188799e-05,9.283004946800934e-05,7.426017286873271e-05,-5.897028187258017e-09,0.1509124758302965,0.127812980030722
75,M14_lag2,1.0,5,0.0,0.00014715592109422194,0.00014895730629516102,1.682124452025673e-05,-0.01586450485612558,-0.01452146397283638,0.018108725682900745,0.0001121502932618979,0.00011228885950547215,3.717675907253097e-07,9.967758327845356e-05,9.283006567256449e-05,7.426018084891908e-05,-5.9091178418203e-09,-0.007064145139065411,-0.012634408602150541
76,M13_is_missing_lag2,1.0,5,0.0,0.00014715563083693705,0.00014895690657945604,1.682132943358299e-05,-0.015864521963083567,-0.014521569574434068,0.01810872193825156,0.00011215029329448476,0.00011228885955036245,3.7176760205390283e-07,9.967758502715446e-05,9.283006859983084e-05,7.426018225045306e-05,-5.910866542718199e-09,-3.3262251117730763e-19,
77,M14_is_missing_lag2,1.0,5,0.0,0.00014715563083693705,0.00014895690657945604,1.682132943358299e-05,-0.015864521963083567,-0.014521569574434068,0.01810872193825156,0.00011215029329448476,0.00011228885955036245,3.7176760205390283e-07,9.967758502715446e-05,9.283006859983084e-05,7.426018225045306e-05,-5.910866542718199e-09,-3.3262251117730763e-19,
