label,prune
feature_level,extensive
model_type,
elastic,0.0013201124347648197
lasso,0.0012247916563903338
lgbm,-0.34036525105032833
ols,-0.0015854009417144432
ridge,-0.0007157893849616404
xgb,-0.261357159341602
